chain_id,stage_index,experiment_name,language_group,base_model,model_init_path,output_dir,train_file,validation_file,test_file,stage_epochs_cfg,stage_epochs_achieved,stage_epochs_used,cum_epoch_start,cum_epoch_end
1,1,checkability_multi_v1,unknown,xlm-roberta-base,,checkpoints/checkability/multi/checkability_multi_v1,data/processed/checkability/multilingual/train.jsonl,data/processed/checkability/multilingual/val.jsonl,data/processed/checkability/multilingual/test.jsonl,5.0,4.672897196261682,4.672897196261682,0.0,4.672897196261682
2,1,context_en_v1,en,microsoft/deberta-v3-base,,checkpoints/context/en/context_en_v1,data/processed/context/en_dist14k/train.jsonl,data/processed/context/en_dist14k/val.jsonl,data/processed/context/en_dist14k/test.jsonl,4.0,4.0,4.0,0.0,4.0
3,1,context_indic_v1,indic,google/muril-base-cased,,checkpoints/context/indic/context_indic_v1,data/processed/context/indic/train.jsonl,data/processed/context/indic/val.jsonl,data/processed/context/indic/test.jsonl,5.0,0.0,5.0,0.0,5.0
4,1,context_indic_mt_v1,indic_mt,google/muril-base-cased,,checkpoints/context/indic/context_indic_mt_v1,data/processed/context/indic_mt_50k/train.jsonl,data/processed/context/indic_mt_50k/val.jsonl,data/processed/context/indic_mt_50k/test.jsonl,5.0,4.8,4.8,0.0,4.8
5,1,relevance_multi_v1,indic_multi,xlm-roberta-base,,checkpoints/relevance/multi/relevance_multi_v1,data/processed/relevance/multilingual/train.jsonl,data/processed/relevance/multilingual/val.jsonl,data/processed/relevance/multilingual/test.jsonl,3.0,0.914662032379036,0.914662032379036,0.0,0.914662032379036
6,1,stance_en_deberta_v1_mnli,en,microsoft/deberta-v3-base,microsoft/deberta-v3-base,checkpoints/stance/en/stance_en_deberta_v1_mnli,data/processed/stance/en_mnli/train.jsonl,data/processed/stance/en_mnli/val.jsonl,data/processed/stance/en_mnli/test.jsonl,1.0,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333
6,2,stance_en_deberta_v1_fever,en,,checkpoints/stance/en/stance_en_deberta_v1_mnli/checkpoint-2000,checkpoints/stance/en/stance_en_deberta_v1_fever,data/processed/stance/en_fever/train.jsonl,data/processed/stance/en_fever/val.jsonl,data/processed/stance/en_fever/test.jsonl,3.0,0.63,0.63,0.5333333333333333,1.1633333333333333
6,3,stance_en_deberta_v1_vitaminc,en,,checkpoints/stance/en/stance_en_deberta_v1_fever/tmp-checkpoint-5000,checkpoints/stance/en/stance_en_deberta_v1_vitaminc,data/processed/stance/en_vitaminc/train.jsonl,data/processed/stance/en_vitaminc/val.jsonl,data/processed/stance/en_vitaminc/test.jsonl,2.0,1.93,1.93,1.1633333333333333,3.0933333333333333
7,1,stance_multi_indic_eval,indic,microsoft/mdeberta-v3-base,,checkpoints/stance/multi/multi-indic-fever,data/processed/stance/indic_fever_mix_cleaned/train.jsonl,data/processed/stance/indic_fever_mix_cleaned/val.jsonl,data/processed/stance/indic_fever_mix_cleaned/test.jsonl,0.0,2.963491849656473,2.963491849656473,0.0,2.963491849656473
