run_summary,config_path,model_name,model_init_path,output_dir,best_model_dir,train_examples,validation_examples,test_examples,eval_accuracy,eval_macro_f1,test_accuracy,test_macro_f1
checkpoints\checkability\multi\checkability_multi_v1\run_summary.json,configs\training\checkability_multi.yaml,xlm-roberta-base,xlm-roberta-base,checkpoints\checkability\multi\checkability_multi_v1,checkpoints\checkability\multi\checkability_multi_v1\best_model,1712,213,213,0.9624413145539906,0.9633636095086159,0.9812206572769953,0.9811946510425317
checkpoints\context\en\context_en_v1\run_summary.json,configs\training\context_en.yaml,microsoft/deberta-v3-base,,checkpoints\context\en\context_en_v1,checkpoints\context\en\context_en_v1\best_model,11200,1400,1400,0.7564285714285715,0.729249133797092,0.7714285714285715,0.7625026145697108
checkpoints\context\indic\context_indic_mt_v1\run_summary.json,configs\training\context_indic_mt.yaml,google/muril-base-cased,,checkpoints\context\indic\context_indic_mt_v1,checkpoints\context\indic\context_indic_mt_v1\best_model,40000,5000,5000,0.76,0.6932640643402878,0.7754,0.7076751737021257
checkpoints\relevance\multi\relevance_multi_v1\eval_checkpoint-5000\run_summary.json,,,,checkpoints\relevance\multi\relevance_multi_v1\eval_checkpoint-5000,,,,,,,,
checkpoints\stance\en\stance_en_deberta_v1_fever\eval_tmp-checkpoint-5000\run_summary.json,,,,checkpoints\stance\en\stance_en_deberta_v1_fever\eval_tmp-checkpoint-5000,,,25399,25399,,,,
checkpoints\stance\en\stance_en_deberta_v1_mnli\eval_checkpoint-2000\run_summary.json,,,,checkpoints\stance\en\stance_en_deberta_v1_mnli\eval_checkpoint-2000,,,9815,9832,,,,
checkpoints\stance\en\stance_en_deberta_v1_vitaminc\eval_best_model\run_summary.json,,,,checkpoints\stance\en\stance_en_deberta_v1_vitaminc\eval_best_model,,,20759,20760,,,,
checkpoints\stance\en\stance_en_deberta_v1_vitaminc\run_summary.json,configs/training/stance_en_vitaminc.yaml,microsoft/deberta-v3-base,checkpoints/stance/en/stance_en_deberta_v1_fever/tmp-checkpoint-5000,checkpoints\stance\en\stance_en_deberta_v1_vitaminc,checkpoints\stance\en\stance_en_deberta_v1_vitaminc\best_model,166072,20759,20760,0.8901681198516306,0.8899339505886698,0.8934489402697495,0.8932723564428855
checkpoints\stance\multi\multi-indic-fever\eval_checkpoint-11000\run_summary.json,,,,checkpoints\stance\multi\multi-indic-fever\eval_checkpoint-11000,,,29688,29689,,,,
